"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 06, 2021","2,259.15","2,264.74","2,280.37","2,257.55","-","-0.25%"
"Apr 05, 2021","2,264.89","2,280.80","2,280.83","2,253.94","-","0.49%"
"Apr 01, 2021","2,253.90","2,225.29","2,253.90","2,225.29","-","1.50%"
"Mar 31, 2021","2,220.52","2,200.03","2,237.68","2,200.03","-","1.13%"
"Mar 30, 2021","2,195.80","2,158.59","2,202.62","2,151.55","-","1.72%"
"Mar 29, 2021","2,158.68","2,219.31","2,223.19","2,158.44","-","-2.83%"
"Mar 26, 2021","2,221.48","2,190.88","2,222.19","2,177.90","-","1.76%"
"Mar 25, 2021","2,183.12","2,133.15","2,190.89","2,100.27","-","2.29%"
"Mar 24, 2021","2,134.27","2,192.95","2,221.98","2,134.12","-","-2.35%"
"Mar 23, 2021","2,185.69","2,264.14","2,264.14","2,175.78","-","-3.58%"
"Mar 22, 2021","2,266.84","2,287.93","2,294.04","2,258.70","-","-0.91%"
"Mar 19, 2021","2,287.55","2,267.65","2,298.04","2,247.57","-","0.88%"
"Mar 18, 2021","2,267.59","2,335.83","2,340.55","2,262.07","-","-2.94%"
"Mar 17, 2021","2,336.39","2,315.14","2,339.28","2,289.84","-","0.73%"
"Mar 16, 2021","2,319.52","2,360.13","2,360.13","2,304.97","-","-1.72%"
"Mar 15, 2021","2,360.17","2,352.79","2,360.17","2,337.13","-","0.31%"
"Mar 12, 2021","2,352.79","2,337.23","2,354.20","2,325.65","-","0.61%"
"Mar 11, 2021","2,338.54","2,287.94","2,338.55","2,287.94","-","2.31%"
"Mar 10, 2021","2,285.68","2,246.96","2,299.46","2,246.96","-","1.81%"
"Mar 09, 2021","2,245.06","2,204.80","2,261.64","2,204.80","-","1.91%"
"Mar 08, 2021","2,202.98","2,192.65","2,233.34","2,192.48","-","0.49%"
"Mar 05, 2021","2,192.21","2,149.43","2,193.27","2,085.12","-","2.11%"
"Mar 04, 2021","2,146.92","2,207.74","2,217.05","2,110.14","-","-2.76%"
"Mar 03, 2021","2,207.79","2,232.50","2,252.56","2,207.62","-","-1.06%"
"Mar 02, 2021","2,231.51","2,275.12","2,275.12","2,231.11","-","-1.93%"
"Mar 01, 2021","2,275.32","2,203.03","2,279.54","2,203.03","-","3.37%"
"Feb 26, 2021","2,201.05","2,201.30","2,232.29","2,165.86","-","0.04%"
"Feb 25, 2021","2,200.17","2,283.85","2,289.07","2,196.52","-","-3.69%"
"Feb 24, 2021","2,284.38","2,232.41","2,286.49","2,232.41","-","2.38%"
"Feb 23, 2021","2,231.31","2,248.42","2,248.42","2,169.08","-","-0.88%"
"Feb 22, 2021","2,251.07","2,265.87","2,276.33","2,247.70","-","-0.69%"
"Feb 19, 2021","2,266.69","2,218.82","2,275.87","2,218.82","-","2.18%"
"Feb 18, 2021","2,218.39","2,253.02","2,253.02","2,208.49","-","-1.67%"
"Feb 17, 2021","2,256.11","2,271.96","2,271.96","2,226.98","-","-0.74%"
"Feb 16, 2021","2,272.89","2,290.57","2,310.09","2,266.27","-","-1.46%"
"Feb 15, 2021","2,306.60","2,307.85","2,311.75","2,306.00","-","0.75%"
"Feb 12, 2021","2,289.36","2,284.66","2,293.73","2,264.38","-","0.18%"
"Feb 11, 2021","2,285.32","2,283.27","2,303.63","2,255.57","-","0.13%"
"Feb 10, 2021","2,282.44","2,300.68","2,318.09","2,266.66","-","-0.72%"
"Feb 09, 2021","2,299.00","2,289.65","2,309.43","2,281.93","-","0.40%"
"Feb 08, 2021","2,289.76","2,234.35","2,289.76","2,234.35","-","2.53%"
"Feb 05, 2021","2,233.33","2,202.94","2,233.33","2,202.94","-","1.40%"
"Feb 04, 2021","2,202.42","2,160.77","2,202.42","2,160.77","-","1.98%"
"Feb 03, 2021","2,159.70","2,151.46","2,163.36","2,135.78","-","0.38%"
"Feb 02, 2021","2,151.44","2,127.31","2,154.54","2,126.45","-","1.19%"
"Feb 01, 2021","2,126.16","2,075.01","2,130.69","2,075.01","-","2.53%"
"Jan 29, 2021","2,073.64","2,106.78","2,124.62","2,066.59","-","-1.56%"
"Jan 28, 2021","2,106.61","2,111.29","2,138.20","2,094.78","-","-0.10%"
"Jan 27, 2021","2,108.70","2,146.66","2,146.66","2,088.01","-","-1.91%"
"Jan 26, 2021","2,149.86","2,165.46","2,183.01","2,146.34","-","-0.62%"
"Jan 25, 2021","2,163.27","2,168.72","2,194.86","2,135.22","-","-0.25%"
"Jan 22, 2021","2,168.76","2,140.48","2,168.80","2,118.77","-","1.28%"
"Jan 21, 2021","2,141.42","2,161.30","2,167.03","2,138.03","-","-0.89%"
"Jan 20, 2021","2,160.62","2,152.30","2,173.73","2,149.99","-","0.44%"
"Jan 19, 2021","2,151.14","2,125.51","2,152.35","2,125.51","-","0.92%"
"Jan 18, 2021","2,131.45","2,123.50","2,134.25","2,121.00","-","0.39%"
"Jan 15, 2021","2,123.20","2,154.69","2,154.69","2,102.53","-","-1.49%"
"Jan 14, 2021","2,155.35","2,113.62","2,164.32","2,113.62","-","2.05%"
"Jan 13, 2021","2,111.97","2,128.17","2,131.42","2,109.72","-","-0.75%"
"Jan 12, 2021","2,127.96","2,091.79","2,128.39","2,091.79","-","1.77%"
"Jan 11, 2021","2,091.01","2,088.80","2,095.40","2,061.64","-","-0.03%"
"Jan 08, 2021","2,091.66","2,098.45","2,113.88","2,064.61","-","-0.25%"
"Jan 07, 2021","2,096.89","2,059.33","2,099.26","2,059.33","-","1.89%"
"Jan 06, 2021","2,057.92","1,980.29","2,079.72","1,980.29","-","3.98%"
"Jan 05, 2021","1,979.11","1,945.79","1,988.76","1,943.69","-","1.71%"
"Jan 04, 2021","1,945.91","1,975.78","1,990.70","1,927.15","-","-1.47%"
