"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2021","6.55","5.93","6.68","5.75","173.41M","14.91%"
"Feb 19, 2021","5.70","5.54","5.77","5.51","40.25M","3.45%"
"Feb 18, 2021","5.51","5.84","6.25","5.46","130.54M","-0.72%"
"Feb 17, 2021","5.55","5.58","5.62","5.32","38.85M","-1.77%"
"Feb 16, 2021","5.65","6.03","6.05","5.49","61.17M","1.07%"
"Feb 12, 2021","5.59","5.72","5.97","5.52","46.77M","-0.36%"
"Feb 11, 2021","5.61","5.62","5.85","5.47","55.92M","-3.28%"
"Feb 10, 2021","5.80","5.71","6.59","5.45","152.81M","5.45%"
"Feb 09, 2021","5.50","5.81","5.81","5.26","102.59M","-11.00%"
"Feb 08, 2021","6.18","6.88","6.89","5.75","128.76M","-9.52%"
"Feb 05, 2021","6.83","7.17","8.27","6.52","197.10M","-3.67%"
"Feb 04, 2021","7.09","8.70","8.74","7.00","162.99M","-20.96%"
"Feb 03, 2021","8.97","8.85","9.77","7.89","221.41M","14.71%"
"Feb 02, 2021","7.82","9.48","10.10","6.00","462.78M","-41.20%"
"Feb 01, 2021","13.30","17.00","17.25","12.91","434.61M","0.30%"
"Jan 29, 2021","13.26","14.31","16.00","11.60","602.19M","53.65%"
"Jan 28, 2021","8.63","11.98","16.50","6.51","591.22M","-56.63%"
"Jan 27, 2021","19.90","20.34","20.36","11.01","1.25B","301.21%"
"Jan 26, 2021","4.96","5.09","5.19","4.37","456.85M","12.22%"
"Jan 25, 2021","4.42","4.71","4.88","3.85","443.24M","25.93%"
"Jan 22, 2021","3.51","2.91","3.74","2.81","268.27M","17.79%"
"Jan 21, 2021","2.98","3.00","3.06","2.85","64.82M","0.34%"
"Jan 20, 2021","2.97","3.29","3.34","2.75","181.86M","-2.94%"
"Jan 19, 2021","3.06","2.80","3.20","2.57","256.28M","31.33%"
"Jan 15, 2021","2.33","2.20","2.55","2.18","162.36M","6.88%"
"Jan 14, 2021","2.18","2.22","2.32","2.13","49.64M","0.00%"
"Jan 13, 2021","2.18","2.33","2.38","2.13","45.85M","-4.80%"
"Jan 12, 2021","2.29","2.24","2.39","2.23","41.78M","4.09%"
"Jan 11, 2021","2.20","2.16","2.27","2.15","41.70M","2.80%"
"Jan 08, 2021","2.14","2.09","2.21","2.07","39.55M","4.39%"
"Jan 07, 2021","2.05","2.08","2.11","2.02","26.15M","1.99%"
"Jan 06, 2021","2.01","2.03","2.23","1.97","67.36M","1.52%"
"Jan 05, 2021","1.98","1.99","2.03","1.91","28.15M","-1.49%"
"Jan 04, 2021","2.01","2.20","2.20","2.00","29.87M","-5.19%"
