Date,Price,Open,High,Low,Vol.,Change %
"Apr 07, 2021",7.35,7.57,7.66,7.29,3.56M,-3.42%
"Apr 06, 2021",7.61,7.45,7.83,7.43,3.91M,1.47%
"Apr 05, 2021",7.5,7.49,7.58,7.28,3.47M,1.63%
"Apr 01, 2021",7.38,7.63,7.69,7.32,4.26M,-2.38%
"Mar 31, 2021",7.56,7.27,7.64,7.25,4.82M,5.15%
"Mar 30, 2021",7.19,7.3,7.3,6.91,5.23M,-2.04%
"Mar 29, 2021",7.34,7.39,7.55,7.16,4.55M,-3.29%
"Mar 26, 2021",7.59,7.74,7.86,7.25,5.66M,-2.94%
"Mar 25, 2021",7.82,7.3,7.93,7.02,8.93M,1.96%
"Mar 24, 2021",7.67,8.23,8.25,7.64,8.90M,-7.26%
"Mar 23, 2021",8.27,8.62,8.71,8.12,12.39M,-5.92%
"Mar 22, 2021",8.79,8.41,8.85,8.36,10.36M,3.29%
"Mar 19, 2021",8.51,8.56,8.83,8.23,19.83M,0.47%
"Mar 18, 2021",8.47,8.6,8.87,8.29,12.34M,-3.20%
"Mar 17, 2021",8.75,8.26,8.87,8.25,13.21M,1.63%
"Mar 16, 2021",8.61,8.89,9.06,8.43,8.39M,-3.04%
"Mar 15, 2021",8.88,8.89,9.07,8.48,9.41M,-0.34%
"Mar 12, 2021",8.91,8.35,8.95,8.22,6.49M,2.77%
"Mar 11, 2021",8.67,8.32,8.84,8.31,9.39M,6.91%
"Mar 10, 2021",8.11,8.33,8.6,8.01,13.63M,-0.98%
"Mar 09, 2021",8.19,7.53,8.38,7.44,13.96M,11.43%
"Mar 08, 2021",7.35,7.9,8.11,7.3,14.71M,-6.25%
"Mar 05, 2021",7.84,7.62,7.96,6.31,27.62M,7.54%
"Mar 04, 2021",7.29,8.08,8.26,6.94,29.25M,-12.06%
"Mar 03, 2021",8.29,8.94,9.27,8.03,25.55M,-8.30%
"Mar 02, 2021",9.04,9.78,9.78,9.01,31.92M,-12.83%
"Mar 01, 2021",10.37,10,10.8,9.82,19.56M,10.32%
"Feb 26, 2021",9.4,9.92,10,9.16,16.54M,-3.19%
"Feb 25, 2021",9.71,10.35,10.56,9.57,15.35M,-6.09%
"Feb 24, 2021",10.34,10.16,10.49,10.05,8.46M,2.07%
"Feb 23, 2021",10.13,10.65,10.85,9.68,18.01M,-8.57%
"Feb 22, 2021",11.08,11.01,11.66,10.98,13.03M,0.91%
"Feb 19, 2021",10.98,10.8,11.31,10.55,16.93M,1.39%
"Feb 18, 2021",10.83,11.05,11.23,10.54,15.00M,-4.33%
"Feb 17, 2021",11.32,11.08,11.52,11.06,13.28M,-1.48%
"Feb 16, 2021",11.49,12.2,12.21,11.4,18.24M,-4.88%
"Feb 12, 2021",12.08,11.93,12.39,11.75,9.65M,0.58%
"Feb 11, 2021",12.01,12.3,12.48,11.76,14.70M,-3.92%
"Feb 10, 2021",12.5,13.19,13.22,12.35,17.27M,-5.02%
"Feb 09, 2021",13.16,12.62,13.65,12.42,30.42M,6.39%
"Feb 08, 2021",12.37,13.03,13.13,12.17,34.36M,-4.33%
"Feb 05, 2021",12.93,12.53,13.07,11.3,66.58M,5.72%
"Feb 04, 2021",12.23,12.1,13.09,11.86,69.99M,-12.33%
"Feb 03, 2021",13.95,14.01,14.24,13.85,8.78M,-0.14%
"Feb 02, 2021",13.97,14.29,14.39,13.91,11.09M,1.16%
"Feb 01, 2021",13.81,14.13,14.4,13.5,10.18M,-1.00%
"Jan 29, 2021",13.95,14.05,14.7,13.6,12.31M,-0.85%
"Jan 28, 2021",14.07,14.74,15.45,13.5,17.91M,-1.26%
